Site	Lenght	L/min		Site	Lenght	L/min		Site	Ostron (L/min)	 Musslor (L/min)		Depth grid															
4	14.50	0.03757875		4	6	0.01934865																					
4	14.50	0.03757875		4	5	0.01934865																					
4	10.00	0.0335949		4	7.5	0.0136548																					
4	13.00	0.0362508		4	7.5	0.0174507																					
4	13.50	0.03669345		4	6	0.01808335																					
4	10.00	0.0335949		4	6	0.0136548																					
4	12.00	0.0353655		4	6	0.0161854																					
4	14.50	0.03757875		4	5.5	0.01934865																					
4	7.00	0.030939		4	8	0.0098589																					
4	9.00	0.0327096		4	8	0.0123895																					
4	9.00	0.0327096		4	7	0.0123895																					
4	10.00	0.0335949		4	6.5	0.0136548																					
4	11.00	0.0344802		4	7.5	0.0149201																					
4	10.50	0.03403755		4	6.5	0.01428745																					
4	11.00	0.0344802		4	6	0.0149201																					
4	6.50	0.03049635		4	6	0.00922625																					
4	9.50	0.03315225		4	5.5	0.01302215																					
4	10.50	0.03403755		4	9	0.01428745																					
4	10.50	0.03403755		4	7	0.01428745																					
4	8.00	0.0318243		4	1	0.0111242																					
4	10.00	0.0335949		4	6	0.0136548																					
4	9.50	0.03315225		4	5	0.01302215																					
4	13.00	0.0362508		4	6	0.0174507																					
4	13.00	0.0362508		4	3	0.0174507																					
4	13.50	0.03669345		4	5.5	0.01808335																					
4	12.00	0.0353655		4	6	0.0161854																					
4	20.00	0.0424479		4	5.5	0.0263078																					
4	14.00	0.0371361		4	6	0.018716																					
4	8.00	0.0318243		4	4	0.0111242																					
4	7.00	0.030939		4	6	0.0098589																					
4	9.00	0.0327096		4	5	0.0123895																					
4	11.00	0.0344802		4	8	0.0149201																					
4	13.00	0.0362508		4	7.5	0.0174507																					
4	18.00	0.0406773		4	5	0.0237772																					
4	15.00	0.0380214		4	7	0.0199813																					
4	11.50	0.03492285		4	8	0.01555275																					
4	8.50	0.03226695		4	7	0.01175685																					
4	14.00	0.0371361		4	6	0.018716																					
4	10.00	0.0335949		4	4	0.0136548																					
4	13.00	0.0362508		4	6.5	0.0174507																					
4	13.50	0.03669345		4	5	0.01808335																					
4	10.00	0.0335949		4	4	0.0136548																					
4	12.00	0.0353655		4	5.5	0.0161854																					
4	12.00	0.0353655		4	4	0.0161854																					
4	12.00	0.0353655		4	4	0.0161854																					
4	11.00	0.0344802		4	5	0.0149201																					
4	10.00	0.0335949		4	7	0.0136548																					
4	10.00	0.0335949		4	7	0.0136548																					
4	5.50	0.02961105		4	6	0.00796095																					
4	10.00	0.0335949		4	6.5	0.0136548																					
4	10.00	0.0335949		4	2	0.0136548																					
4	4.00	0.0282831		4	7	0.006063																					
4	9.50	0.03315225		4	6.5	0.01302215																					
4	9.00	0.0327096		4	6	0.0123895																					
4	12.50	0.03580815		4	6	0.01681805																					
4	14.00	0.0371361		4	6	0.018716																					
4	10.00	0.0335949		4	7	0.0136548																					
4	9.00	0.0327096		4	5.5	0.0123895																					
4	11.00	0.0344802		4	6.5	0.0149201																					
4	11.00	0.0344802		4	6	0.0149201																					
4	12.50	0.03580815		4	5.5	0.01681805																					
4	17.00	0.039792		4	7.5	0.0225119																					
4	13.00	0.0362508		4	7	0.0174507																					
4	12.00	0.0353655		4	5	0.0161854																					
4	10.00	0.0335949		4	6	0.0136548																					
4	12.00	0.0353655		4	4	0.0161854																					
4	14.00	0.0371361		4	5	0.018716																					
4	12.00	0.0353655		4	7	0.0161854																					
4	11.00	0.0344802		4	2.5	0.0149201																					
4	15.00	0.0380214		4	6	0.0199813																					
4	5.00	0.0291684		4	8	0.0073283																					
4	11.00	0.0344802		4	7	0.0149201																					
4	10.00	0.0335949		4	4	0.0136548																					
4	10.00	0.0335949		4	4	0.0136548																					
4	12.50	0.03580815		4	8	0.01681805																					
4	11.50	0.03492285		4	2	0.01555275																					
4	8.50	0.03226695		4	7	0.01175685																					
4	10.00	0.0335949		4	6	0.0136548																					
4	6.00	0.0300537		4	3	0.0085936																					
4	8.50	0.03226695		4	7	0.01175685																					
4	8.50	0.03226695		4	5	0.01175685																					
4	12.00	0.0353655		4	5.5	0.0161854																					
4	8.00	0.0318243		4	6	0.0111242																					
4	15.00	0.0380214		4	4	0.0199813																					
4	14.00	0.0371361		4	6	0.018716																					
4	12.00	0.0353655		4	6	0.0161854																					
4	13.00	0.0362508		4	6	0.0174507																					
4	14.00	0.0371361		4	5	0.018716																					
4	13.00	0.0362508		4	3	0.0174507																					
4	10.00	0.0335949		4	5.5	0.0136548																					
4	9.00	0.0327096		4	5	0.0123895																					
4	13.00	0.0362508		4	5	0.0174507																					
4	7.00	0.030939		4	6	0.0098589																					
4	11.00	0.0344802		4	3	0.0149201																					
4	12.00	0.0353655		4	7	0.0161854																					
4	7.00	0.030939		4	7	0.0098589																					
4	11.00	0.0344802		4	7	0.0149201																					
4	12.00	0.0353655		4	4	0.0161854																					
4	11.00	0.0344802		4	7	0.0149201																					
4	11.00	0.0344802		4	5	0.0149201																					
4	10.00	0.0335949		4	7	0.0136548																					
4	10.00	0.0335949		4	6.5	0.0136548																					
4	11.50	0.03492285		4	5	0.01555275																					
4	14.00	0.0371361		4	8	0.018716																					
4	9.00	0.0327096		5	3.5	0.0123895																					
4	9.00	0.0327096		5	5	0.0123895																					
4	13.00	0.0362508		6	5	0.0174507																					
4	10.00	0.0335949		6	4.5	0.0136548																					
4	10.00	0.0335949		6	4.5	0.0136548																					
4	12.00	0.0353655		6	5	0.0161854																					
4	9.00	0.0327096		6	6	0.0123895																					
4	9.50	0.03315225		6	2.5	0.01302215																					
4	13.00	0.0362508		6	6	0.0174507																					
4	15.00	0.0380214		6	4.5	0.0199813																					
4	15.00	0.0380214		6	6	0.0199813																					
4	7.00	0.030939		6	4	0.0098589																					
4	10.00	0.0335949		6	3.5	0.0136548																					
4	5.00	0.0291684		6	3	0.0073283																					
4	10.50	0.03403755		6	3.5	0.01428745																					
4	14.00	0.0371361		6	2	0.018716																					
4	7.00	0.030939		6	5	0.0098589																					
4	9.50	0.03315225		6	3.5	0.01302215																					
4	7.00	0.030939		6	3.5	0.0098589																					
4	17.00	0.039792		6	5	0.0225119																					
4	8.00	0.0318243		6	4.5	0.0111242																					
4	18.00	0.0406773		6	5	0.0237772																					
4	14.00	0.0371361		6	4.5	0.018716																					
4	11.00	0.0344802		6	3	0.0149201																					
4	12.00	0.0353655		6	4.5	0.0161854																					
4	12.00	0.0353655		6	6	0.0161854																					
4	8.00	0.0318243		6	5	0.0111242																					
4	11.00	0.0344802		6	6	0.0149201																					
4	10.00	0.0335949		6	4	0.0136548																					
4	13.00	0.0362508		6	4.5	0.0174507																					
4	9.00	0.0327096		6	3	0.0123895																					
4	9.50	0.03315225		6	3.5	0.01302215																					
4	10.00	0.0335949		6	3.5	0.0136548																					
4	10.00	0.0335949		6	5	0.0136548																					
4	10.00	0.0335949		6	5.5	0.0136548																					
4	7.00	0.030939		6	5	0.0098589																					
4	10.00	0.0335949		7	3	0.0136548																					
4	10.00	0.0335949		7	5	0.0136548																					
4	12.00	0.0353655		7	1	0.0161854																					
4	9.00	0.0327096		7	1	0.0123895																					
4	12.00	0.0353655		7	1.5	0.0161854																					
4	9.50	0.03315225		7	4.5	0.01302215																					
4	10.00	0.0335949		7	6.5	0.0136548																					
4	17.00	0.039792		8	5	0.0225119																					
4	8.50	0.03226695		11	3.5	0.01175685																					
4	5.00	0.0291684		11	6.5	0.0073283																					
4	9.00	0.0327096		11	4.5	0.0123895																					
4	10.00	0.0335949		11	4	0.0136548																					
4	11.00	0.0344802		11	5	0.0149201																					
4	8.00	0.0318243		11	6	0.0111242																					
4	8.00	0.0318243		11	6	0.0111242																					
4	12.00	0.0353655		11	4.5	0.0161854																					
4	7.00	0.030939		11	5	0.0098589																					
4	10.00	0.0335949		11	5	0.0136548																					
4	8.00	0.0318243		11	5.5	0.0111242																					
4	20.00	0.0424479		11	2.5	0.0263078																					
4	15.00	0.0380214		11	5.5	0.0199813																					
4	15.00	0.0380214		11	6.5	0.0199813																					
4	8.00	0.0318243		11	5	0.0111242																					
4	22.00	0.0442185		11	3	0.0288384																					
4	9.50	0.03315225		11	5.5	0.01302215																					
4	11.00	0.0344802		11	5.5	0.0149201																					
4	10.00	0.0335949		11	5	0.0136548																					
4	5.50	0.02961105		11	5	0.00796095																					
4	15.00	0.0380214		11	2.5	0.0199813																					
4	9.50	0.03315225		11	4	0.01302215																					
4	12.00	0.0353655		11	5.5	0.0161854																					
4	9.00	0.0327096		11	6	0.0123895																					
4	16.00	0.0389067		12	7	0.0212466																					
4	10.00	0.0335949		12	9	0.0136548																					
4	8.50	0.03226695		12	6	0.01175685																					
4	15.00	0.0380214		12	6	0.0199813																					
4	11.00	0.0344802		12	4.5	0.0149201																					
4	11.50	0.03492285		12	5	0.01555275																					
4	9.00	0.0327096		12	5.5	0.0123895																					
4	10.00	0.0335949		12	6.5	0.0136548																					
4	14.00	0.0371361		12	7	0.018716																					
4	5.50	0.02961105		12	5	0.00796095																					
4	14.00	0.0371361		12	5	0.018716																					
4	12.00	0.0353655		12	5.5	0.0161854																					
4	12.00	0.0353655		12	5	0.0161854																					
4	14.00	0.0371361		12	4	0.018716																					
4	7.00	0.030939		12	6	0.0098589																					
4	15.00	0.0380214		12	6.5	0.0199813																					
4	13.00	0.0362508		12	5.5	0.0174507																					
4	11.00	0.0344802		12	8	0.0149201																					
4	8.00	0.0318243		12	5	0.0111242																					
4	15.00	0.0380214		12	5	0.0199813																					
4	5.00	0.0291684		12	5	0.0073283																					
4	18.00	0.0406773		12	2	0.0237772																					
4	4.00	0.0282831		12	3.5	0.006063																					
4	17.00	0.039792		12	4.5	0.0225119																					
4	10.00	0.0335949		12	4.5	0.0136548																					
4	9.50	0.03315225		12	5.5	0.01302215																					
4	15.00	0.0380214		12	4.5	0.0199813																					
4	11.00	0.0344802		12	4	0.0149201																					
4	11.00	0.0344802		12	3	0.0149201																					
4	15.00	0.0380214		12	4.5	0.0199813																					
4	9.00	0.0327096		12	3.5	0.0123895																					
4	16.00	0.0389067		12	7.5	0.0212466																					
4	9.00	0.0327096		12	4	0.0123895																					
4	13.00	0.0362508		12	4.5	0.0174507																					
4	10.00	0.0335949		12	5	0.0136548																					
4	11.00	0.0344802		12	6	0.0149201																					
4	7.00	0.030939		12	5.5	0.0098589																					
4	13.00	0.0362508		12	4.5	0.0174507																					
4	11.00	0.0344802		12	4	0.0149201																					
4	12.00	0.0353655		12	4.5	0.0161854																					
4	14.00	0.0371361		12	5	0.018716																					
4	10.50	0.03403755		12	5	0.01428745																					
4	10.00	0.0335949		12	5.5	0.0136548																					
4	8.50	0.03226695		12	5	0.01175685																					
4	11.00	0.0344802		12	4.5	0.0149201																					
4	12.00	0.0353655		12	4.5	0.0161854																					
4	11.00	0.0344802		12	5	0.0149201																					
4	22.00	0.0442185		12	5.5	0.0288384																					
4	13.00	0.0362508		12	4	0.0174507																					
4	10.00	0.0335949		12	4	0.0136548																					
4	8.00	0.0318243		12	2.5	0.0111242																					
4	4.00	0.0282831		12	5	0.006063																					
4	13.00	0.0362508		12	4	0.0174507																					
4	14.00	0.0371361		12	5	0.018716																					
4	17.00	0.039792		12	8	0.0225119																					
4	11.00	0.0344802		12	4.5	0.0149201																					
4	12.00	0.0353655		12	5.5	0.0161854																					
4	8.00	0.0318243		12	6.5	0.0111242																					
4	13.00	0.0362508		12	6	0.0174507																					
4	13.00	0.0362508		12	7	0.0174507																					
4	9.50	0.03315225		12	5.5	0.01302215																					
4	7.00	0.030939		12	6	0.0098589																					
4	9.00	0.0327096		12	5.5	0.0123895																					
4	13.00	0.0362508		12	4	0.0174507																					
4	11.00	0.0344802		12	4.5	0.0149201																					
4	9.00	0.0327096		12	3.5	0.0123895																					
4	16.00	0.0389067		12	4	0.0212466																					
4	11.00	0.0344802		12	5.5	0.0149201																					
4	19.00	0.0415626		12	3.5	0.0250425																					
4	9.00	0.0327096		12	8.5	0.0123895																					
4	9.50	0.03315225		12	6	0.01302215																					
4	8.00	0.0318243		12	4.5	0.0111242																					
4	13.00	0.0362508		12	4	0.0174507																					
4	8.00	0.0318243		12	6	0.0111242																					
4	8.00	0.0318243		12	6	0.0111242																					
4	13.00	0.0362508		12	5.5	0.0174507																					
4	13.00	0.0362508		12	4.5	0.0174507																					
4	10.00	0.0335949		12	6	0.0136548																					
4	12.00	0.0353655		12	6	0.0161854																					
4	10.00	0.0335949		12	5.5	0.0136548																					
4	13.00	0.0362508		12	5	0.0174507																					
4	12.50	0.03580815		12	6	0.01681805																					
4	6.00	0.0300537		12	5.5	0.0085936																					
4	9.00	0.0327096		12	4.5	0.0123895																					
4	9.00	0.0327096		12	6.5	0.0123895																					
4	9.00	0.0327096		12	6	0.0123895																					
4	9.00	0.0327096		12	6.5	0.0123895																					
4	12.00	0.0353655		12	6	0.0161854																					
4	12.00	0.0353655		12	6	0.0161854																					
4	9.00	0.0327096		12	6.5	0.0123895																					
5	6.50	0.03049635		12	3	0.00922625																					
5	6.00	0.0300537		12	5.5	0.0085936																					
5	5.50	0.02961105		12	5	0.00796095																					
5	4.50	0.02872575		12	6	0.00669565																					
5	8.00	0.0318243		12	6	0.0111242																					
5	6.50	0.03049635		12	2.5	0.00922625																					
5	6.50	0.03049635		12	2	0.00922625																					
6	13.00	0.0362508		12	6	0.0174507																					
6	6.50	0.03049635		12	6.5	0.00922625																					
6	8.00	0.0318243		12	4.5	0.0111242																					
6	11.00	0.0344802		12	5	0.0149201																					
6	6.50	0.03049635		12	3.5	0.00922625																					
6	6.50	0.03049635		12	4	0.00922625																					
6	6.00	0.0300537		12	3	0.0085936																					
6	7.50	0.03138165		12	6	0.01049155																					
6	8.00	0.0318243		12	4.5	0.0111242																					
6	5.00	0.0291684		12	6	0.0073283																					
6	5.50	0.02961105		12	5.5	0.00796095																					
6	6.50	0.03049635		12	3	0.00922625																					
6	6.00	0.0300537		12	6.5	0.0085936																					
6	7.50	0.03138165		12	5	0.01049155																					
6	6.50	0.03049635		12	7	0.00922625																					
6	8.00	0.0318243		12	5.5	0.0111242																					
6	4.50	0.02872575		12	6	0.00669565																					
6	6.00	0.0300537		12	5	0.0085936																					
6	7.00	0.030939		12	6	0.0098589																					
6	13.00	0.0362508		12	4	0.0174507																					
6	12.00	0.0353655		12	3	0.0161854																					
6	8.00	0.0318243		12	4.5	0.0111242																					
6	7.00	0.030939		12	4.5	0.0098589																					
6	6.00	0.0300537		12	6	0.0085936																					
6	13.00	0.0362508		12	5.5	0.0174507																					
6	9.00	0.0327096		12	5	0.0123895																					
6	4.50	0.02872575		12	5.5	0.00669565																					
6	8.00	0.0318243		12	3	0.0111242																					
6	5.50	0.02961105		12	6.5	0.00796095																					
6	7.00	0.030939		12	5.5	0.0098589																					
6	6.50	0.03049635		12	5	0.00922625																					
6	6.50	0.03049635		12	6	0.00922625																					
6	8.00	0.0318243		12	6	0.0111242																					
6	10.00	0.0335949		12	5	0.0136548																					
6	15.00	0.0380214		12	4	0.0199813																					
6	6.00	0.0300537		12	4	0.0085936																					
6	15.00	0.0380214		12	4.5	0.0199813																					
6	8.00	0.0318243		12	5	0.0111242																					
6	10.00	0.0335949		12	6	0.0136548																					
